order_item_id,order_id,product_id,is_primary_item,price_usd,cogs_usd,created_at
1,1,1,1,49.99,19.49,3/19/2012
2,2,1,1,49.99,19.49,3/19/2012
3,3,1,1,49.99,19.49,3/20/2012
4,4,1,1,49.99,19.49,3/20/2012
5,5,1,1,49.99,19.49,3/20/2012
6,6,1,1,49.99,19.49,3/20/2012
7,7,1,1,49.99,19.49,3/20/2012
8,8,1,1,49.99,19.49,3/20/2012
9,9,1,1,49.99,19.49,3/21/2012
10,10,1,1,49.99,19.49,3/21/2012
11,11,1,1,49.99,19.49,3/21/2012
12,12,1,1,49.99,19.49,3/21/2012
13,13,1,1,49.99,19.49,3/21/2012
14,14,1,1,49.99,19.49,3/21/2012
15,15,1,1,49.99,19.49,3/21/2012
16,16,1,1,49.99,19.49,3/21/2012
17,17,1,1,49.99,19.49,3/21/2012
18,18,1,1,49.99,19.49,3/22/2012
19,19,1,1,49.99,19.49,3/22/2012
20,20,1,1,49.99,19.49,3/22/2012
21,21,1,1,49.99,19.49,3/22/2012
22,22,1,1,49.99,19.49,3/23/2012
23,23,1,1,49.99,19.49,3/23/2012
24,24,1,1,49.99,19.49,3/23/2012
25,25,1,1,49.99,19.49,3/24/2012
26,26,1,1,49.99,19.49,3/25/2012
27,27,1,1,49.99,19.49,3/25/2012
28,28,1,1,49.99,19.49,3/25/2012
29,29,1,1,49.99,19.49,3/25/2012
30,30,1,1,49.99,19.49,3/26/2012
31,31,1,1,49.99,19.49,3/26/2012
32,32,1,1,49.99,19.49,3/26/2012
33,33,1,1,49.99,19.49,3/26/2012
34,34,1,1,49.99,19.49,3/26/2012
35,35,1,1,49.99,19.49,3/26/2012
36,36,1,1,49.99,19.49,3/26/2012
37,37,1,1,49.99,19.49,3/26/2012
38,38,1,1,49.99,19.49,3/26/2012
39,39,1,1,49.99,19.49,3/27/2012
40,40,1,1,49.99,19.49,3/27/2012
41,41,1,1,49.99,19.49,3/28/2012
42,42,1,1,49.99,19.49,3/28/2012
43,43,1,1,49.99,19.49,3/28/2012
44,44,1,1,49.99,19.49,3/28/2012
45,45,1,1,49.99,19.49,3/28/2012
46,46,1,1,49.99,19.49,3/29/2012
47,47,1,1,49.99,19.49,3/29/2012
48,48,1,1,49.99,19.49,3/29/2012
49,49,1,1,49.99,19.49,3/30/2012
50,50,1,1,49.99,19.49,3/30/2012
51,51,1,1,49.99,19.49,3/30/2012
