order_id,website_session_id,user_id,primary_product_id,items_purchased,price_usd,cogs_usd,created_at
1,20,20,1,1,49.99,19.49,3/19/2012
2,104,104,1,1,49.99,19.49,3/19/2012
3,147,147,1,1,49.99,19.49,3/20/2012
4,160,160,1,1,49.99,19.49,3/20/2012
5,177,177,1,1,49.99,19.49,3/20/2012
6,232,232,1,1,49.99,19.49,3/20/2012
7,241,241,1,1,49.99,19.49,3/20/2012
8,295,295,1,1,49.99,19.49,3/20/2012
9,304,304,1,1,49.99,19.49,3/21/2012
10,317,317,1,1,49.99,19.49,3/21/2012
11,321,321,1,1,49.99,19.49,3/21/2012
12,327,327,1,1,49.99,19.49,3/21/2012
13,332,332,1,1,49.99,19.49,3/21/2012
14,336,336,1,1,49.99,19.49,3/21/2012
15,428,428,1,1,49.99,19.49,3/21/2012
16,434,434,1,1,49.99,19.49,3/21/2012
17,465,465,1,1,49.99,19.49,3/21/2012
18,507,507,1,1,49.99,19.49,3/22/2012
19,536,536,1,1,49.99,19.49,3/22/2012
20,615,615,1,1,49.99,19.49,3/22/2012
21,639,639,1,1,49.99,19.49,3/22/2012
22,732,732,1,1,49.99,19.49,3/23/2012
23,750,750,1,1,49.99,19.49,3/23/2012
24,783,783,1,1,49.99,19.49,3/23/2012
25,844,844,1,1,49.99,19.49,3/24/2012
26,908,908,1,1,49.99,19.49,3/25/2012
27,909,909,1,1,49.99,19.49,3/25/2012
28,940,940,1,1,49.99,19.49,3/25/2012
29,954,954,1,1,49.99,19.49,3/25/2012
30,1018,1016,1,1,49.99,19.49,3/26/2012
31,1023,1021,1,1,49.99,19.49,3/26/2012
32,1059,1055,1,1,49.99,19.49,3/26/2012
33,1081,1077,1,1,49.99,19.49,3/26/2012
34,1094,1090,1,1,49.99,19.49,3/26/2012
35,1098,1094,1,1,49.99,19.49,3/26/2012
36,1105,1101,1,1,49.99,19.49,3/26/2012
37,1107,1103,1,1,49.99,19.49,3/26/2012
38,1125,1121,1,1,49.99,19.49,3/26/2012
39,1243,1238,1,1,49.99,19.49,3/27/2012
40,1256,1251,1,1,49.99,19.49,3/27/2012
41,1330,1325,1,1,49.99,19.49,3/28/2012
42,1343,1337,1,1,49.99,19.49,3/28/2012
43,1419,1412,1,1,49.99,19.49,3/28/2012
44,1454,1447,1,1,49.99,19.49,3/28/2012
45,1463,1456,1,1,49.99,19.49,3/28/2012
46,1581,1574,1,1,49.99,19.49,3/29/2012
47,1605,1598,1,1,49.99,19.49,3/29/2012
48,1643,1635,1,1,49.99,19.49,3/29/2012
49,1646,1638,1,1,49.99,19.49,3/30/2012
50,1654,1646,1,1,49.99,19.49,3/30/2012
51,1685,1677,1,1,49.99,19.49,3/30/2012
